Player,Team,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
Mohammad Shami,GT,17,17,65.0,522,28,11/4,18.64,8.03,13.92,2,0
Mohit Sharma,GT,14,14,44.1,361,27,10/5,13.37,8.17,9.81,2,1
Rashid Khan,GT,17,17,67.0,552,27,30/4,20.44,8.23,14.88,1,0
Piyush Chawla,MI,16,16,61.0,495,22,22/3,22.50,8.11,16.63,0,0
Yuzvendra Chahal,RR,14,14,52.5,432,21,17/4,20.57,8.17,15.09,3,0
Tushar Deshpande,CSK,16,16,56.5,564,21,45/3,26.85,9.92,16.23,0,0
Ravindra Jadeja,CSK,16,16,57.0,431,20,20/3,21.55,7.56,17.10,0,0
Varun Chakaravarthy,KKR,14,14,52.4,429,20,15/4,21.45,8.14,15.80,1,0
Mohammed Siraj,RCB,14,14,50.0,376,19,21/4,19.78,7.52,15.78,1,0
Matheesha Pathirana,CSK,12,12,46.2,371,19,15/3,19.52,8.00,14.63,0,0
Arshdeep Singh,PBKS,14,14,50.5,493,17,29/4,29.00,9.69,17.94,1,0
Ravi Bishnoi,LSG,15,14,50.3,391,16,28/3,24.43,7.74,18.93,0,0
Noor Ahmad,GT,13,13,47.1,369,16,37/3,23.06,7.82,17.68,0,0
Bhuvneshwar Kumar,SRH,14,14,51.0,425,16,30/5,26.56,8.33,19.12,0,1
Ravichandran Ashwin,RR,13,13,49.0,368,14,23/2,26.28,7.51,21.00,0,0
Akash Madhwal,MI,8,8,25.3,219,14,5/5,15.64,8.58,10.92,1,1
Jason Behrendorff,MI,12,12,42.0,387,14,23/3,27.64,9.21,18.00,0,0
Harshal Patel,RCB,13,13,47.0,454,14,32/3,32.42,9.65,20.14,0,0
Trent Boult,RR,10,10,38.0,312,13,29/3,24.00,8.21,17.53,0,0
Deepak Chahar,CSK,10,10,34.0,297,13,22/3,22.84,8.73,15.69,0,0
Nathan Ellis,PBKS,10,10,38.0,339,13,30/4,26.07,8.92,17.53,1,0
Yash Thakur,LSG,9,9,31.5,289,13,37/4,22.23,9.07,14.69,1,0
Mayank Markande,SRH,10,10,38.0,300,12,15/4,25.00,7.89,19.00,1,0
Mitchell Marsh,DC,9,8,20.1,170,12,27/4,14.16,8.42,10.08,1,0
Axar Patel,DC,14,13,47.0,338,11,13/2,30.72,7.19,25.63,0,0
Naveen-ul-Haq,LSG,8,7,28.0,219,11,38/4,19.90,7.82,15.27,1,0
Sunil Narine,KKR,14,14,48.0,383,11,33/3,34.81,7.97,26.18,0,0
Maheesh Theekshana,CSK,13,13,49.0,392,11,23/2,35.63,8.00,26.72,0,0
Mark Wood,LSG,4,4,16.0,130,11,14/5,11.81,8.12,8.72,0,1
Kuldeep Yadav,DC,14,14,49.0,361,10,15/2,36.10,7.36,29.40,0,0
Suyash Sharma,KKR,11,11,39.0,321,10,30/3,32.10,8.23,23.40,0,0
Ishant Sharma,DC,8,8,25.0,206,10,19/2,20.60,8.24,15.00,0,0
Sandeep Sharma,RR,12,12,46.0,396,10,25/2,39.60,8.60,27.60,0,0
Anrich Nortje,DC,10,10,40.0,364,10,20/2,36.40,9.10,24.00,0,0
T Natarajan,SRH,12,12,45.0,410,10,23/2,41.00,9.11,27.00,0,0
Marco Jansen,SRH,8,8,27.0,267,10,16/2,26.70,9.88,16.20,0,0
Sam Curran,PBKS,14,14,47.5,489,10,31/3,48.90,10.22,28.70,0,0
Karn Sharma,RCB,7,7,21.3,223,10,19/2,22.30,10.37,12.90,0,0
Krunal Pandya,LSG,15,12,42.0,313,9,18/3,34.77,7.45,28.00,0,0
Moeen Ali,CSK,15,11,26.0,195,9,26/4,21.66,7.50,17.33,1,0
Harpreet Brar,PBKS,13,11,27.1,218,9,30/4,24.22,8.02,18.11,1,0
Wanindu Hasaranga,RCB,8,8,29.0,258,9,24/2,28.66,8.89,19.33,0,0
Khaleel Ahmed,DC,9,9,33.0,301,9,24/2,33.44,9.12,22.00,0,0
Wayne Parnell,RCB,7,7,25.1,236,9,10/3,26.22,9.37,16.77,0,0
Vyshak Vijaykumar,RCB,7,7,24.0,253,9,20/3,28.11,10.54,16.00,0,0
Rahul Chahar,PBKS,14,14,49.4,385,8,16/2,48.12,7.75,37.25,0,0
Adam Zampa,RR,6,6,22.0,188,8,22/3,23.50,8.54,16.50,0,0
Avesh Khan,LSG,9,9,29.0,283,8,25/3,35.37,9.75,21.75,0,0
Amit Mishra,LSG,7,7,19.0,149,7,21/2,21.28,7.84,16.28,0,0
Josh Little,GT,10,10,34.0,294,7,25/2,42.00,8.64,29.14,0,0
Alzarri Joseph,GT,7,7,24.0,225,7,27/2,32.14,9.37,20.57,0,0
Kagiso Rabada,PBKS,6,6,23.0,232,7,34/2,33.14,10.08,19.71,0,0
Shardul Thakur,KKR,11,9,21.0,220,7,23/2,31.42,10.47,18.00,0,0
Mukesh Kumar,DC,10,10,31.0,326,7,30/2,46.57,10.51,26.57,0,0
Riley Meredith,MI,5,5,19.4,207,7,33/2,29.57,10.52,16.85,0,0
Andre Russell,KKR,14,9,15.1,172,7,22/3,24.57,11.34,13.00,0,0
Michael Bracewell,RCB,5,5,11.0,95,6,13/2,15.83,8.63,11.00,0,0
Cameron Green,MI,16,16,38.0,361,6,41/2,60.16,9.50,38.00,0,0
Harshit Rana,KKR,6,6,17.0,147,5,33/2,29.40,8.64,20.40,0,0
Kumar Kartikeya Singh,MI,8,8,26.0,227,5,37/2,45.40,8.73,31.20,0,0
Vaibhav Arora,KKR,5,5,16.0,146,5,30/2,29.20,9.12,19.20,0,0
Marcus Stoinis,LSG,15,5,10.5,100,5,20/2,20.00,9.23,13.00,0,0
Akash Singh,CSK,6,6,19.0,188,5,40/2,37.60,9.89,22.80,0,0
Umran Malik,SRH,8,8,20.0,217,5,32/2,43.40,10.85,24.00,0,0
Arshad Khan,MI,6,6,14.1,190,5,39/3,38.00,13.41,17.00,0,0
Fazalhaq Farooqi,SRH,4,4,13.2,117,4,41/2,29.25,8.77,20.00,0,0
Jason Holder,RR,8,8,28.3,284,4,29/2,71.00,9.96,42.75,0,0
Mitchell Santner,CSK,3,3,12.0,81,3,28/2,27.00,6.75,24.00,0,0
David Willey,RCB,4,4,15.0,105,3,16/2,35.00,7.00,30.00,0,0
Krishnappa Gowtham,LSG,7,6,16.0,118,3,10/1,39.33,7.37,32.00,0,0
Anukul Roy,KKR,4,3,8.0,65,3,19/2,21.66,8.12,16.00,0,0
Washington Sundar,SRH,7,7,17.4,146,3,28/3,48.66,8.26,35.33,0,0
Josh Hazlewood,RCB,3,3,9.0,76,3,15/2,25.33,8.44,18.00,0,0
Nitish Rana,KKR,14,6,8.5,75,3,17/2,25.00,8.49,17.66,0,0
Yudhvir Singh,LSG,3,3,8.0,71,3,20/2,23.66,8.87,16.00,0,0
Glenn Maxwell,RCB,14,7,10.2,94,3,3/1,31.33,9.09,20.66,0,0
Hardik Pandya,GT,16,11,25.0,228,3,10/1,76.00,9.12,50.00,0,0
Arjun Tendulkar,MI,4,4,9.5,92,3,9/1,30.66,9.35,19.66,0,0
Hrithik Shokeen,MI,8,8,19.0,187,3,34/2,62.33,9.84,38.00,0,0
Asif K M,RR,4,4,14.0,138,3,42/2,46.00,9.85,28.00,0,0
Sikandar Raza,PBKS,7,6,12.0,119,3,19/1,39.66,9.91,24.00,0,0
Rajvardhan Hangargekar,CSK,2,2,6.0,60,3,36/3,20.00,10.00,12.00,0,0
Mohsin Khan,LSG,5,4,10.0,107,3,24/1,35.66,10.70,20.00,0,0
Chris Jordan,MI,6,6,22.0,237,3,7/1,79.00,10.77,44.00,0,0
Chetan Sakariya,DC,2,2,8.0,89,3,53/2,29.66,11.12,16.00,0,0
Navdeep Saini,RR,2,2,6.0,74,3,40/3,24.66,12.33,12.00,0,0
Adil Rashid,SRH,2,2,7.0,56,2,23/2,28.00,8.00,21.00,0,0
Lalit Yadav,DC,6,4,13.0,118,2,29/1,59.00,9.07,39.00,0,0
Jofra Archer,MI,5,5,20.0,190,2,35/1,95.00,9.50,60.00,0,0
Kuldip Yadav,RR,2,2,7.0,68,2,18/1,34.00,9.71,21.00,0,0
Abhishek Sharma,SRH,11,5,12.0,124,2,26/1,62.00,10.33,36.00,0,0
Yash Dayal,GT,5,5,14.0,165,2,31/1,82.50,11.78,42.00,0,0
Tim Southee,KKR,2,2,6.0,79,2,54/2,39.50,13.16,18.00,0,0
Liam Livingstone,PBKS,9,5,7.0,94,2,19/1,47.00,13.42,21.00,0,0
Kulwant Khejroliya,KKR,2,2,4.2,64,2,44/2,32.00,14.76,13.00,0,0
Praveen Dubey,DC,1,1,3.0,19,1,19/1,19.00,6.33,18.00,0,0
Glenn Phillips,SRH,5,2,3.0,20,1,10/1,20.00,6.66,18.00,0,0
Reece Topley,RCB,1,1,2.0,14,1,14/1,14.00,7.00,12.00,0,0
Tristan Stubbs,MI,2,1,2.0,14,1,14/1,14.00,7.00,12.00,0,0
Mayank Dagar,SRH,3,3,11.0,83,1,37/1,83.00,7.54,66.00,0,0
Sisanda Magala,CSK,2,2,6.0,51,1,37/1,51.00,8.50,36.00,0,0
Rishi Dhawan,PBKS,6,4,7.0,60,1,20/1,60.00,8.57,42.00,0,0
Aiden Markram,SRH,13,6,8.1,70,1,24/1,70.00,8.57,49.00,0,0
Rovman Powell,DC,3,1,2.0,18,1,18/1,18.00,9.00,12.00,0,0
Umesh Yadav,KKR,8,8,19.0,189,1,27/1,189.00,9.94,114.00,0,0
Akeal Hosein,SRH,1,1,4.0,40,1,40/1,40.00,10.00,24.00,0,0
Darshan Nalkande,GT,1,1,4.0,44,1,44/1,44.00,11.00,24.00,0,0
Mustafizur Rahman,DC,2,2,7.0,79,1,38/1,79.00,11.28,42.00,0,0
Akash Deep,RCB,2,2,5.0,59,1,29/1,59.00,11.80,30.00,0,0
Lockie Ferguson,KKR,3,3,7.4,96,1,19/1,96.00,12.52,46.00,0,0
Duan Jansen,MI,1,1,4.0,53,1,53/1,53.00,13.25,24.00,0,0
Shahbaz Ahmed,RCB,10,5,7.0,95,1,38/1,95.00,13.57,42.00,0,0
Kartik Tyagi,SRH,3,3,6.1,92,1,30/1,92.00,14.91,37.00,0,0